id,name,code,account_type,chart_template_id/id,reconcile
a5621,Tiesas izpildītāju uzliktie ieturējumi - pirmās kārtās ieturējumi,5621,liability_current,l10n_lv.account_chart_template_latvia,True
a5630,Citi norēķini ar darbiniekiem,5630,liability_current,l10n_lv.account_chart_template_latvia,True
a5650,Norēķini par parādiem personālam,5650,liability_current,l10n_lv.account_chart_template_latvia,True
a5710,Norēķini par uzņēmuma ienākuma nodokļi (UIN),5710,liability_current,l10n_lv.account_chart_template_latvia,False
a5711,Norēķini par ārvalstu uzņēmuma ienākuma nodokļi,5711,liability_current,l10n_lv.account_chart_template_latvia,False
a5721,Norēķini par pievienotās vērtības nodokļi (PVN),5721,liability_current,l10n_lv.account_chart_template_latvia,False
a5722,Norēķini par Iedzīvotāju ienākuma nodokļi (IIN),5722,liability_current,l10n_lv.account_chart_template_latvia,False
a5723,Norēķini par sociālās apdrošināšanas maksājumiem (VSAOI),5723,liability_current,l10n_lv.account_chart_template_latvia,False
a5724,Norēķini par Valsts darba dēvēja riska nodevu (VDRN),5724,liability_current,l10n_lv.account_chart_template_latvia,False
a5725,Norēķini par nekustamā īpašuma nodokli (NIN),5725,liability_current,l10n_lv.account_chart_template_latvia,False
a5726,Norēķini par PVN OSS precēm un pakalpojumiem,5726,liability_current,l10n_lv.account_chart_template_latvia,False
a5727,Norēķini par dabas resursa nodokli (DRN),5727,liability_current,l10n_lv.account_chart_template_latvia,False
a5728,Norēķini par uzņēmumu vieglo transportlīdzekļu nodokli (UVTN),5728,liability_current,l10n_lv.account_chart_template_latvia,False
a5729,Norēķini par Ievedmuitas nodokļi,5729,liability_current,l10n_lv.account_chart_template_latvia,False
a5810,Norēķini par neizmaksātajam dividendēm,5810,liability_current,l10n_lv.account_chart_template_latvia,False
a5910,Nākamo periodu ieņēmumi,5910,liability_current,l10n_lv.account_chart_template_latvia,False
a5920,Uzkrātās saistības,5920,liability_current,l10n_lv.account_chart_template_latvia,False
a5930,Atvasinātie finanšu instrumenti,5930,liability_current,l10n_lv.account_chart_template_latvia,False
a6110,Ar PVN 21% pamatlikmi apliekamie ieņēmumi no pamatdarbības,6110,income,l10n_lv.account_chart_template_latvia,False
a6120,Ar PVN 12% samazināto likmi apliekamie pārdošanas ieņēmumi no pamatdarbības,6120,income,l10n_lv.account_chart_template_latvia,False
a6130,Ar PVN 5% samazināto likmi apliekamie pārdošanas ieņēmumi no pamatdarbības,6130,income,l10n_lv.account_chart_template_latvia,False
a6140,Ar PVN 0 % likmi apliekamie pārdošanas ieņēmumi no pamatdarbības,6140,income,l10n_lv.account_chart_template_latvia,False
a6210,Ar nodokļiem neapliekamie pārdošanas ieņēmumi,6210,income,l10n_lv.account_chart_template_latvia,False
a6220,Ar īpašiem nodokļiem apliekamie pārdošanas ieņēmumi,6220,income,l10n_lv.account_chart_template_latvia,False
a6310,Komisijas un starpniecības ieņēmumi,6310,income,l10n_lv.account_chart_template_latvia,False
a6320,Ieņēmumi no atkritumu pārstrādes un realizācijas,6320,income,l10n_lv.account_chart_template_latvia,False
a6330,Ieņēmumi no taras realizācijas,6330,income,l10n_lv.account_chart_template_latvia,False
a6340,Ar nodokļiem neapliekamie ieņēmumi,6340,income,l10n_lv.account_chart_template_latvia,False
a6410,Piešķirtās skonto atlaides,6410,income,l10n_lv.account_chart_template_latvia,False
a6420,Piešķirtie bonusi,6420,income,l10n_lv.account_chart_template_latvia,False
a6430,Piešķirtie rabati un citas tirdzniecības atlaides,6430,income,l10n_lv.account_chart_template_latvia,False
a6510,Ieņēmumi no vērtspapīru kursa paaugstināšanās,6510,income_other,l10n_lv.account_chart_template_latvia,False
a6520,Ieņēmumi no pamatlīdzekļu pārdošanas,6520,income_other,l10n_lv.account_chart_template_latvia,False
a6530,Ieņēmumi no zemes gabalu iznomāšanas,6530,income_other,l10n_lv.account_chart_template_latvia,False
a6540,Ieņēmumi no apgrozāmo līdzekļu pārdošanas,6540,income_other,l10n_lv.account_chart_template_latvia,False
a6550,Ieņēmumi no pamatlīdzekļu iznomāšanas,6550,income_other,l10n_lv.account_chart_template_latvia,False
a6560,Ieņēmumos pārskaitītais  uzkrājumu samazinājums,6560,income_other,l10n_lv.account_chart_template_latvia,False
a6570,Iepriekšējo gadu nodokļa samazinājums,6570,income_other,l10n_lv.account_chart_template_latvia,False
a6580,Papildus ieguldījumi un citi ieņēmumi,6580,income_other,l10n_lv.account_chart_template_latvia,False
a6590,Pašu ilgtermiņa ieguldījumiem izpildītie darbi,6590,income_other,l10n_lv.account_chart_template_latvia,False
a6610,Gatavas produkcijas krājumu un vērtības izmaiņas,6610,income_other,l10n_lv.account_chart_template_latvia,False
a6620,Nepabeigto ražojumu vērtības izmaiņas,6620,income_other,l10n_lv.account_chart_template_latvia,False
a6630,Nepabeigto pasūtījumu atlikumu un vērtības izmaiņas,6630,income_other,l10n_lv.account_chart_template_latvia,False
a6640,Produktīvo un darba dzīvnieku ganāmpulka vērtības izmaiņas,6640,income_other,l10n_lv.account_chart_template_latvia,False
